SL NO,BRANDS,PRODUCTS,TOP NOTE,MIDDLE NOTE,BASE NOTE,DESCRIPTION,OCCASION
12,AHMED AL MAGHRIBl,MARJ,"Citrus, Green Notes, Fruity","Floral Notes, Rose, Jasmine","Musk, Amber, Woods","Marj by Ahmed Al Maghribl is a captivating fragrance that opens with citrus, green notes, creating a fresh and inviting first impression. The heart reveals floral notes, rose, adding depth and sophistication, while the base of musk, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
13,AJMAL,WISAL LAYL.,"Fruity Notes, Citrus, Apple","Rose, Jasmine, Spices","Musk, Amber, Sandalwood","Wisal Layl. by Ajmal is a captivating fragrance that opens with fruity notes, citrus, creating a fresh and inviting first impression. The heart reveals rose, jasmine, adding depth and sophistication, while the base of musk, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
14,AJMAL,MUKHALLAT KUWAITI,"Saffron, Rose, Fruity","Oud, Amber, Floral","Musk, Sandalwood, Resin","Mukhallat Kuwaiti by Ajmal is a captivating fragrance that opens with saffron, rose, creating a fresh and inviting first impression. The heart reveals oud, amber, adding depth and sophistication, while the base of musk, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
15,AJMAL,DEHNAL OUDH SHAMS -,"Smoky Notes, Spices, Resin","Oud, Leather, Woods","Amber, Musk, Animalic","Dehnal Oudh Shams - by Ajmal is a captivating fragrance that opens with smoky notes, spices, creating a fresh and inviting first impression. The heart reveals oud, leather, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
16,AJMAL,OUD DESIRE,"Saffron, Citrus, Spices","Oud, Rose, Jasmine","Amber, Musk, Vanilla","Oud Desire by Ajmal is a captivating fragrance that opens with saffron, citrus, creating a fresh and inviting first impression. The heart reveals oud, rose, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
17,AJMAL,BLU,"Bergamot, Lavender, Lemon","Aquatic Notes, Jasmine, Spices","Musk, Sandalwood, Amber","Blu by Ajmal is a captivating fragrance that opens with bergamot, lavender, creating a fresh and inviting first impression. The heart reveals aquatic notes, jasmine, adding depth and sophistication, while the base of musk, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
18,AJMAL,AURUM,"Raspberry, Citrus, Lemon","Floral Notes, Jasmine, Orange Blossom","Amber, Musk, Vanilla","Aurum by Ajmal is a captivating fragrance that opens with raspberry, citrus, creating a fresh and inviting first impression. The heart reveals floral notes, jasmine, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
19,AJMAL,HATKORA WOOD,"Lemon, Grapefruit, Citrus","Spices, Ginger, Pepper","Vetiver, Woods, Amber","Hatkora Wood by Ajmal is a captivating fragrance that opens with lemon, grapefruit, creating a fresh and inviting first impression. The heart reveals spices, ginger, adding depth and sophistication, while the base of vetiver, woods leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
20,AJMAL,AMBER WOOD,"Apple, Spices, Lavender","Cedarwood, Orris, Patchouli","Amber, Musk, Woods","Amber Wood by Ajmal is a captivating fragrance that opens with apple, spices, creating a fresh and inviting first impression. The heart reveals cedarwood, orris, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
21,AJMAL,RAINDROP,"Bergamot, Fruity Notes, Aldehydes","Jasmine, Rose, Floral Notes","Musk, Amber, Woody Notes","Raindrop by Ajmal is a captivating fragrance that opens with bergamot, fruity notes, creating a fresh and inviting first impression. The heart reveals jasmine, rose, adding depth and sophistication, while the base of musk, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
22,AJMAL,SACRIFICE,"Jasmine, Water Notes, Orange Blossom","Vanilla, Sugar, Floral Notes","Musk, Ambergris, Wood","Sacrifice by Ajmal is a captivating fragrance that opens with jasmine, water notes, creating a fresh and inviting first impression. The heart reveals vanilla, sugar, adding depth and sophistication, while the base of musk, ambergris leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Gym / Casual
23,AJMAL,MIZYAAN,"Citrus, Saffron, Spice","Rose, Jasmine, Patchouli","Oud, Amber, Musk","Mizyaan by Ajmal is a captivating fragrance that opens with citrus, saffron, creating a fresh and inviting first impression. The heart reveals rose, jasmine, adding depth and sophistication, while the base of oud, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
24,AJMAL,AMIR ONE,"Lemon, Mint, Green Notes","Lavender, Geranium, Spice","Cedarwood, Musk, Amber","Amir One by Ajmal is a captivating fragrance that opens with lemon, mint, creating a fresh and inviting first impression. The heart reveals lavender, geranium, adding depth and sophistication, while the base of cedarwood, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
25,AJMAL,KHOFOOQ,"Bergamot, Citrus, Saffron","Rose, Jasmine, Leather","Oud, Amber, Musk","Khofooq by Ajmal is a captivating fragrance that opens with bergamot, citrus, creating a fresh and inviting first impression. The heart reveals rose, jasmine, adding depth and sophistication, while the base of oud, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
26,AJMAL,BLUE MOON,"Lemon, Apple, Mint","Marine, Lavender, Geranium","Musk, Amber, Cedar","Blue Moon by Ajmal is a captivating fragrance that opens with lemon, apple, creating a fresh and inviting first impression. The heart reveals marine, lavender, adding depth and sophistication, while the base of musk, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Gym / Casual
27,AJMAL,DUBAI OUD,"Saffron, Spices, Citrus","Rose, Oud, Patchouli","Amber, Musk, Sandalwood","Dubai Oud by Ajmal is a captivating fragrance that opens with saffron, spices, creating a fresh and inviting first impression. The heart reveals rose, oud, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
28,AJMAL,QASIDA,"Apple, Bergamot, Cinnamon","Rose, Jasmine, Caramel","Vanilla, Musk, Amber","Qasida by Ajmal is a captivating fragrance that opens with apple, bergamot, creating a fresh and inviting first impression. The heart reveals rose, jasmine, adding depth and sophistication, while the base of vanilla, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
29,ALEXANDRE.J,IRIS VIOLET,"Apple, Bergamot, Exotic Fruits","Iris, Rose, Jasmine","Musk, Vanilla, Cashmere Wood","Iris Violet by Alexandre.J is a captivating fragrance that opens with apple, bergamot, creating a fresh and inviting first impression. The heart reveals iris, rose, adding depth and sophistication, while the base of musk, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
30,AMOUAGE,INTERLUDE,"Bergamot, Oregano, Pimento Berry","Amber, Frankincense, Cistus","Oud, Leather, Sandalwood","Interlude by Amouage is a captivating fragrance that opens with bergamot, oregano, creating a fresh and inviting first impression. The heart reveals amber, frankincense, adding depth and sophistication, while the base of oud, leather leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
31,AMOUAGE,INTERLUDE BLACK IRIS,"Rosemary, Violet Leaf, Bergamot","Iris, Amber, Myrrh","Oud, Leather, Sandalwood","Interlude Black Iris by Amouage is a captivating fragrance that opens with rosemary, violet leaf, creating a fresh and inviting first impression. The heart reveals iris, amber, adding depth and sophistication, while the base of oud, leather leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
32,AMOUAGE,BRACKEN,"Lemon, Bergamot, Clove","Cinnamon, Lavender, Cedar","Patchouli, Musk, Oakmoss","Bracken by Amouage is a captivating fragrance that opens with lemon, bergamot, creating a fresh and inviting first impression. The heart reveals cinnamon, lavender, adding depth and sophistication, while the base of patchouli, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
33,AMOUAGE,EPIC,"Pink Pepper, Saffron, Nutmeg","Geranium, Myrrh, Tea","Oud, Leather, Sandalwood","Epic by Amouage is a captivating fragrance that opens with pink pepper, saffron, creating a fresh and inviting first impression. The heart reveals geranium, myrrh, adding depth and sophistication, while the base of oud, leather leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
34,AMOUAGE,OVERTURE,"Grapefruit, Apple, Cumin","Cinnamon, Myrrh, Rose","Leather, Smoke, Patchouli","Overture by Amouage is a captivating fragrance that opens with grapefruit, apple, creating a fresh and inviting first impression. The heart reveals cinnamon, myrrh, adding depth and sophistication, while the base of leather, smoke leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
35,AMOUAGE,POTRAYAL WOMEN,"Jasmine, Tobacco, Vanilla","Floral Notes, Resin, Sweet Notes","Elemi, Amber, Smoke","Potrayal Women by Amouage is a captivating fragrance that opens with jasmine, tobacco, creating a fresh and inviting first impression. The heart reveals floral notes, resin, adding depth and sophistication, while the base of elemi, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
36,AMOUAGE,THE LIBRARY COLLECTION OPUS,"Citrus, Aldehydes, Spices","Incense, Rose, Woods","Amber, Oud, Musk","The Library Collection Opus by Amouage is a captivating fragrance that opens with citrus, aldehydes, creating a fresh and inviting first impression. The heart reveals incense, rose, adding depth and sophistication, while the base of amber, oud leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
37,AMOUAGE,JUBILATION 25,"Blackberry, Orange, Labdanum","Honey, Orchid, Rose","Oud, Amber, Patchouli","Jubilation 25 by Amouage is a captivating fragrance that opens with blackberry, orange, creating a fresh and inviting first impression. The heart reveals honey, orchid, adding depth and sophistication, while the base of oud, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
38,AMOUAGE,REFLECTION MEN,"Rosemary, Red Pepper, Petitgrain","Jasmine, Neroli, Orris","Sandalwood, Cedar, Vetiver","Reflection Men by Amouage is a captivating fragrance that opens with rosemary, red pepper, creating a fresh and inviting first impression. The heart reveals jasmine, neroli, adding depth and sophistication, while the base of sandalwood, cedar leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
39,AMOUAGE,MATERIAL,"Elemi, Patchouli, Benzoin","Vanilla, Incense, Resin","Amber, Oud, Guaiac Wood","Material by Amouage is a captivating fragrance that opens with elemi, patchouli, creating a fresh and inviting first impression. The heart reveals vanilla, incense, adding depth and sophistication, while the base of amber, oud leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
40,AMOUAGE,HONOR MEN,"Pink Pepper, Black Pepper, Geranium","Nutmeg, Elemi, Frankincense","Vetiver, Tonka Bean, Musk","Honor Men by Amouage is a captivating fragrance that opens with pink pepper, black pepper, creating a fresh and inviting first impression. The heart reveals nutmeg, elemi, adding depth and sophistication, while the base of vetiver, tonka bean leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
41,AMOUAGE,JOURNEY MAN,"Bergamot, Earl Grey Tea, Clove","Orange Blossom, Jasmine, Leather","Oud, Guaiac Wood, Tonka Bean","Journey Man by Amouage is a captivating fragrance that opens with bergamot, earl grey tea, creating a fresh and inviting first impression. The heart reveals orange blossom, jasmine, adding depth and sophistication, while the base of oud, guaiac wood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
42,AMOUAGE,GUIDANCE MEN,"Lemon, Pink Pepper","Pear, Hazelnut, Frankincense","Osmanthus, Rose, Saffron","Guidance Men by Amouage is a captivating fragrance that opens with lemon, pink pepper, creating a fresh and inviting first impression. The heart reveals pear, hazelnut, adding depth and sophistication, while the base of osmanthus, rose leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
43,AMOUAGE,OUTLANDS MAN,"Lemon, Pink Pepper","Citrus, Pepper, Herbs","Woods, Incense, Resin","Outlands Man by Amouage is a captivating fragrance that opens with lemon, pink pepper, creating a fresh and inviting first impression. The heart reveals citrus, pepper, adding depth and sophistication, while the base of woods, incense leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
44,AMOUAGE,PURPOSE 50,"Lemon, Pink Pepper","Pink Pepper, Bergamot, Pimento","Sandalwood, Vetiver, Papyrus","Purpose 50 by Amouage is a captivating fragrance that opens with lemon, pink pepper, creating a fresh and inviting first impression. The heart reveals pink pepper, bergamot, adding depth and sophistication, while the base of sandalwood, vetiver leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
45,AMOUAGE,HONOUR MAN,"Mandarin, Pear","Pink Pepper, Black Pepper, Elemi","Geranium, Nutmeg, Incense","Honour Man by Amouage is a captivating fragrance that opens with mandarin, pear, creating a fresh and inviting first impression. The heart reveals pink pepper, black pepper, adding depth and sophistication, while the base of geranium, nutmeg leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
46,AMOUAGE,OPUS XVII TIMBER,"Grapefruit, Mint","Bergamot, Pink Pepper, Lavender","Leather, Rose, Jasmine","Opus Xvii Timber by Amouage is a captivating fragrance that opens with grapefruit, mint, creating a fresh and inviting first impression. The heart reveals bergamot, pink pepper, adding depth and sophistication, while the base of leather, rose leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
47,AMOUAGE,HONOUR WOMAN,"Grapefruit, Mint","Pepper, Rhubarb, Coriander","Jasmine, Tuberose, Gardenia","Honour Woman by Amouage is a captivating fragrance that opens with grapefruit, mint, creating a fresh and inviting first impression. The heart reveals pepper, rhubarb, adding depth and sophistication, while the base of jasmine, tuberose leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
48,AMOUROUD,OUD AFTER DARK,"Saffron, Bergamot","Saffron, Apricot, Pink Pepper","Rose, Oud, Incense","Oud After Dark by Amouroud is a captivating fragrance that opens with saffron, bergamot, creating a fresh and inviting first impression. The heart reveals saffron, apricot, adding depth and sophistication, while the base of rose, oud leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
49,ARABIAN OUD,KASHMIRI MUSK,"Bergamot, Aldehydes","Citrus, Saffron, Spices","Rose, White Musk, Jasmine","Kashmiri Musk by Arabian Oud is a captivating fragrance that opens with bergamot, aldehydes, creating a fresh and inviting first impression. The heart reveals citrus, saffron, adding depth and sophistication, while the base of rose, white musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
50,ARD AL ZAAFARAN,MOUSOUF BROWN,"Mandarin, Pear","Grape, Chocolate, Caramel","Oud, Spice, Floral","Mousouf Brown by Ard Al Zaafaran is a captivating fragrance that opens with mandarin, pear, creating a fresh and inviting first impression. The heart reveals grape, chocolate, adding depth and sophistication, while the base of oud, spice leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
51,ARD AL ZAAFARAN,DIRHAM,"Grapefruit, Mint","Bergamot, Citrus, Cardamom","Rose, Jasmine, Lavender","Dirham by Ard Al Zaafaran is a captivating fragrance that opens with grapefruit, mint, creating a fresh and inviting first impression. The heart reveals bergamot, citrus, adding depth and sophistication, while the base of rose, jasmine leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
52,ARMAF,HIGH STREET,"Lemon, Pink Pepper","Lemon, Bergamot, Neroli","Tuberose, Jasmine, Orange Blossom","High Street by Armaf is a captivating fragrance that opens with lemon, pink pepper, creating a fresh and inviting first impression. The heart reveals lemon, bergamot, adding depth and sophistication, while the base of tuberose, jasmine leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
53,ARMANI,AQUA DI GIO PARFUM,"Marine Notes, Lemon","Marine, Bergamot, Ginger","Clary Sage, Geranium, Rosemary","Aqua Di Gio Parfum by Armani is a captivating fragrance that opens with marine notes, lemon, creating a fresh and inviting first impression. The heart reveals marine, bergamot, adding depth and sophistication, while the base of clary sage, geranium leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Gym / Casual
54,ARMANI,CODE PURFUMO,"Lemon, Pink Pepper","Cardamom, Apple, Green Mandarin","Nutmeg, Orange Blossom, Lavender","Code Purfumo by Armani is a captivating fragrance that opens with lemon, pink pepper, creating a fresh and inviting first impression. The heart reveals cardamom, apple, adding depth and sophistication, while the base of nutmeg, orange blossom leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
55,ARMANI,CODE WOMEN,"Apple, Bergamot","Orange Blossom, Ginger, Pear","Jasmine, Orange Blossom, Honey","Code Women by Armani is a captivating fragrance that opens with apple, bergamot, creating a fresh and inviting first impression. The heart reveals orange blossom, ginger, adding depth and sophistication, while the base of jasmine, orange blossom leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
56,ARMANI,CODE MEN,"Apple, Bergamot","Lemon, Bergamot, Olive Blossom","Star Anise, Guaiac Wood, Leather","Code Men by Armani is a captivating fragrance that opens with apple, bergamot, creating a fresh and inviting first impression. The heart reveals lemon, bergamot, adding depth and sophistication, while the base of star anise, guaiac wood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
57,ARMANI,AQUA DI GIO POUR HOMME,"Marine Notes, Lemon","Bergamot, Lime, Lemon","Jasmine, Marine, Coriander","Aqua Di Gio Pour Homme by Armani is a captivating fragrance that opens with marine notes, lemon, creating a fresh and inviting first impression. The heart reveals bergamot, lime, adding depth and sophistication, while the base of jasmine, marine leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Gym / Casual
58,ARMANI,AQUA DI GIO PROFUMO,"Marine Notes, Lemon","Bergamot, Marine, Rosemary","Geranium, Sage, Incense","Aqua Di Gio Profumo by Armani is a captivating fragrance that opens with marine notes, lemon, creating a fresh and inviting first impression. The heart reveals bergamot, marine, adding depth and sophistication, while the base of geranium, sage leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Gym / Casual
59,ARMANI,AQUA DI GIO PROFONDO,"Marine Notes, Lemon","Green Mandarin, Bergamot, Marine","Lavender, Rosemary, Cypress","Aqua Di Gio Profondo by Armani is a captivating fragrance that opens with marine notes, lemon, creating a fresh and inviting first impression. The heart reveals green mandarin, bergamot, adding depth and sophistication, while the base of lavender, rosemary leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Gym / Casual
60,ARMANI,AQUA DI GIO ABSOLU,"Marine Notes, Lemon","Bergamot, Apple, Marine","Lavender, Geranium, Rosemary","Aqua Di Gio Absolu by Armani is a captivating fragrance that opens with marine notes, lemon, creating a fresh and inviting first impression. The heart reveals bergamot, apple, adding depth and sophistication, while the base of lavender, geranium leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Gym / Casual
61,ARMANI,IKAT ROUGE,"Lemon, Pink Pepper","Bergamot, Pink Pepper, Blackcurrant","Rose, Jasmine, Patchouli","Ikat Rouge by Armani is a captivating fragrance that opens with lemon, pink pepper, creating a fresh and inviting first impression. The heart reveals bergamot, pink pepper, adding depth and sophistication, while the base of rose, jasmine leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
62,ARMANI,STRONGER WITH YOU,"Mandarin, Pear","Cardamom, Pink Pepper, Mint","Sage, Melon, Pineapple","Stronger With You by Armani is a captivating fragrance that opens with mandarin, pear, creating a fresh and inviting first impression. The heart reveals cardamom, pink pepper, adding depth and sophistication, while the base of sage, melon leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
63,ARMANI,STRONGER WITH YOU FREEZE,"Lemon, Pink Pepper","Ginger, Lime, Apple","Lavender, Sage, Geranium","Stronger With You Freeze by Armani is a captivating fragrance that opens with lemon, pink pepper, creating a fresh and inviting first impression. The heart reveals ginger, lime, adding depth and sophistication, while the base of lavender, sage leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
64,ARMANI,ROSE MILANO,"Lychee, Bergamot","Lemon, Bergamot, Blackcurrant","Rose, Geranium, Jasmine","Rose Milano by Armani is a captivating fragrance that opens with lychee, bergamot, creating a fresh and inviting first impression. The heart reveals lemon, bergamot, adding depth and sophistication, while the base of rose, geranium leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
65,ARMANI,CODE SPORT,"Mandarin, Pear","Lemon, Mint, Ginger","Lavender, Apple, Geranium","Code Sport by Armani is a captivating fragrance that opens with mandarin, pear, creating a fresh and inviting first impression. The heart reveals lemon, mint, adding depth and sophistication, while the base of lavender, apple leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Gym / Casual
66,ARMANI,SI PASSIONE,"Grapefruit, Mint","Pear, Blackcurrant, Pink Pepper","Rose, Jasmine, Heliotrope","Si Passione by Armani is a captivating fragrance that opens with grapefruit, mint, creating a fresh and inviting first impression. The heart reveals pear, blackcurrant, adding depth and sophistication, while the base of rose, jasmine leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
67,ARMANI,ARMANI SI,"Mandarin, Pear","Blackcurrant, Mandarin, Bergamot","Rose, Neroli, Freesia","Armani Si by Armani is a captivating fragrance that opens with mandarin, pear, creating a fresh and inviting first impression. The heart reveals blackcurrant, mandarin, adding depth and sophistication, while the base of rose, neroli leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
68,ARMANI,MY WAY,"Apple, Bergamot","Bergamot, Orange Blossom","Tuberose, Jasmine","My Way by Armani is a captivating fragrance that opens with apple, bergamot, creating a fresh and inviting first impression. The heart reveals bergamot, orange blossom, adding depth and sophistication, while the base of tuberose, jasmine leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
69,ARMANI,AQUA INSTINCT,"Marine Notes, Lemon","Grapefruit, Bergamot, Pepper","Marine, Lavender, Geranium","Aqua Instinct by Armani is a captivating fragrance that opens with marine notes, lemon, creating a fresh and inviting first impression. The heart reveals grapefruit, bergamot, adding depth and sophistication, while the base of marine, lavender leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Gym / Casual
70,ARMANI,CODE COLONIA,"Grapefruit, Mint","Bergamot, Mandarin, Pink Pepper","Orange Blossom, Clary Sage","Code Colonia by Armani is a captivating fragrance that opens with grapefruit, mint, creating a fresh and inviting first impression. The heart reveals bergamot, mandarin, adding depth and sophistication, while the base of orange blossom, clary sage leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
