SL NO,BRANDS,PRODUCTS,TOP NOTE,MIDDLE NOTE,BASE NOTE,DESCRIPTION,OCCASION
29,ALEXANDRE.J,IRIS VIOLET,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Iris Violet by Alexandre.J, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
30,AMOUAGE,INTERLUDE,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Interlude by Amouage, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
31,AMOUAGE,INTERLUDE BLACK IRIS,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Interlude Black Iris by Amouage, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
32,AMOUAGE,BRACKEN,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Bracken by Amouage, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
33,AMOUAGE,EPIC,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Epic by Amouage, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
34,AMOUAGE,OVERTURE,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Overture by Amouage, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
35,AMOUAGE,POTRAYAL WOMEN,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Potrayal Women by Amouage, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
36,AMOUAGE,THE LIBRARY COLLECTION OPUS,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover The Library Collection Opus by Amouage, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
37,AMOUAGE,JUBILATION 25,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Jubilation 25 by Amouage, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
38,AMOUAGE,REFLECTION MEN,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Reflection Men by Amouage, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
39,AMOUAGE,MATERIAL,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Material by Amouage, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
40,AMOUAGE,HONOR MEN,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Honor Men by Amouage, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
41,AMOUAGE,JOURNEY MAN,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Journey Man by Amouage, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
42,AMOUAGE,GUIDANCE MEN,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Guidance Men by Amouage, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
43,AMOUAGE,OUTLANDS MAN,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Outlands Man by Amouage, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
44,AMOUAGE,PURPOSE 50,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Purpose 50 by Amouage, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
45,AMOUAGE,HONOUR MAN,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Honour Man by Amouage, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
46,AMOUAGE,OPUS XVII TIMBER,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Opus Xvii Timber by Amouage, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
47,AMOUAGE,HONOUR WOMAN,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Honour Woman by Amouage, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
48,AMOUROUD,OUD AFTER DARK,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Oud After Dark by Amouroud, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
49,ARABIAN OUD,KASHMIRI MUSK,"Bergamot, Aldehydes","White Floral, Powdery Notes","Musk, Sandalwood, Amber","Discover Kashmiri Musk by Arabian Oud, a refined fragrance crafted to make a lasting impression. It opens with bergamot and fresh accords, develops into a smooth heart of white floral and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
50,ARD AL ZAAFARAN,MOUSOUF BROWN,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Mousouf Brown by Ard Al Zaafaran, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
51,ARD AL ZAAFARAN,DIRHAM,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Dirham by Ard Al Zaafaran, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
52,ARMAF,HIGH STREET,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover High Street by Armaf, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
53,ARMANI,AQUA DI GIO PARFUM,"Marine Notes, Lemon","Lavender, Neroli","Musk, Cedarwood, Amber","Discover Aqua Di Gio Parfum by Armani, a refined fragrance crafted to make a lasting impression. It opens with marine notes and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Gym / Casual
54,ARMANI,CODE PURFUMO,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Code Purfumo by Armani, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
55,ARMANI,CODE WOMEN,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Code Women by Armani, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
56,ARMANI,CODE MEN,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Code Men by Armani, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
57,ARMANI,AQUA DI GIO POUR HOMME,"Marine Notes, Lemon","Lavender, Neroli","Musk, Cedarwood, Amber","Discover Aqua Di Gio Pour Homme by Armani, a refined fragrance crafted to make a lasting impression. It opens with marine notes and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Gym / Casual
58,ARMANI,AQUA DI GIO PROFUMO,"Marine Notes, Lemon","Lavender, Neroli","Musk, Cedarwood, Amber","Discover Aqua Di Gio Profumo by Armani, a refined fragrance crafted to make a lasting impression. It opens with marine notes and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Gym / Casual
59,ARMANI,AQUA DI GIO PROFONDO,"Marine Notes, Lemon","Lavender, Neroli","Musk, Cedarwood, Amber","Discover Aqua Di Gio Profondo by Armani, a refined fragrance crafted to make a lasting impression. It opens with marine notes and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Gym / Casual
60,ARMANI,AQUA DI GIO ABSOLU,"Marine Notes, Lemon","Lavender, Neroli","Musk, Cedarwood, Amber","Discover Aqua Di Gio Absolu by Armani, a refined fragrance crafted to make a lasting impression. It opens with marine notes and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Gym / Casual
61,ARMANI,IKAT ROUGE,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Ikat Rouge by Armani, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
62,ARMANI,STRONGER WITH YOU,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Stronger With You by Armani, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
63,ARMANI,STRONGER WITH YOU FREEZE,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Stronger With You Freeze by Armani, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
64,ARMANI,ROSE MILANO,"Lychee, Bergamot","Rose, Peony","Musk, Patchouli, Vanilla","Discover Rose Milano by Armani, a refined fragrance crafted to make a lasting impression. It opens with lychee and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
65,ARMANI,CODE SPORT,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Code Sport by Armani, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Gym / Casual
66,ARMANI,SI PASSIONE,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Si Passione by Armani, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
67,ARMANI,ARMANI SI,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Armani Si by Armani, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
68,ARMANI,MY WAY,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover My Way by Armani, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
69,ARMANI,AQUA INSTINCT,"Marine Notes, Lemon","Lavender, Neroli","Musk, Cedarwood, Amber","Discover Aqua Instinct by Armani, a refined fragrance crafted to make a lasting impression. It opens with marine notes and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Gym / Casual
70,ARMANI,CODE COLONIA,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Code Colonia by Armani, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
71,ARMANI,MANIA ARMANI,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Mania Armani by Armani, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
72,ARMANI,PRIVE OUDH,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Prive Oudh by Armani, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
73,ARMANI,STRONGER WITH YOU OUD -,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Stronger With You Oud - by Armani, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
74,ARMANI,STRONGER WITH YOU LEATHER,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Stronger With You Leather by Armani, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
75,ARMANI,OUD PRIVE,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Oud Prive by Armani, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
76,ARMANI,MUSC SHAMAL,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Musc Shamal by Armani, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
