SL NO,BRANDS,PRODUCTS,TOP NOTE,MIDDLE NOTE,BASE NOTE,DESCRIPTION
11,AHMED AL MAGHRIBI,ASWAD,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Aswad by Ahmed Al Maghribi, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
12,AHMED AL MAGHRIBl,MARJ,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Marj by Ahmed Al Maghribl, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
13,AJMAL,WISAL LAYL.,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Wisal Layl. by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
14,AJMAL,MUKHALLAT KUWAITI,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Mukhallat Kuwaiti by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
15,AJMAL,DEHNAL OUDH SHAMS -,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Dehnal Oudh Shams - by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
16,AJMAL,OUD DESIRE,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Oud Desire by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
17,AJMAL,BLU,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Blu by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
18,AJMAL,AURUM,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Aurum by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
19,AJMAL,HATKORA WOOD,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Hatkora Wood by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
20,AJMAL,AMBER WOOD,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Amber Wood by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
21,AJMAL,RAINDROP,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Raindrop by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
22,AJMAL,SACRIFICE,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Sacrifice by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
23,AJMAL,MIZYAAN,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Mizyaan by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
24,AJMAL,AMIR ONE,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Amir One by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
25,AJMAL,KHOFOOQ,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Khofooq by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
26,AJMAL,BLUE MOON,"Lemon, Mint","Lavender, Geranium","Amberwood, Musk, Cedar","Discover Blue Moon by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of amberwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
27,AJMAL,DUBAI OUD,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Dubai Oud by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
28,AJMAL,QASIDA,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Qasida by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
29,ALEXANDRE.J,IRIS VIOLET,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Iris Violet by Alexandre.J, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
30,AMOUAGE,INTERLUDE,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Interlude by Amouage, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
31,AMOUAGE,INTERLUDE BLACK IRIS,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Interlude Black Iris by Amouage, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
32,AMOUAGE,BRACKEN,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Bracken by Amouage, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
33,AMOUAGE,EPIC,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Epic by Amouage, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
34,AMOUAGE,OVERTURE,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Overture by Amouage, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
35,AMOUAGE,POTRAYAL WOMEN,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Potrayal Women by Amouage, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
36,AMOUAGE,THE LIBRARY COLLECTION OPUS,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover The Library Collection Opus by Amouage, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
37,AMOUAGE,JUBILATION 25,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Jubilation 25 by Amouage, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
38,AMOUAGE,REFLECTION MEN,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Reflection Men by Amouage, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
39,AMOUAGE,MATERIAL,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Material by Amouage, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
40,AMOUAGE,HONOR MEN,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Honor Men by Amouage, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
41,AMOUAGE,JOURNEY MAN,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Journey Man by Amouage, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
42,AMOUAGE,GUIDANCE MEN,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Guidance Men by Amouage, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
43,AMOUAGE,OUTLANDS MAN,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Outlands Man by Amouage, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
44,AMOUAGE,PURPOSE 50,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Purpose 50 by Amouage, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
45,AMOUAGE,HONOUR MAN,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Honour Man by Amouage, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
46,AMOUAGE,OPUS XVII TIMBER,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Opus Xvii Timber by Amouage, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
47,AMOUAGE,HONOUR WOMAN,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Honour Woman by Amouage, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
48,AMOUROUD,OUD AFTER DARK,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Oud After Dark by Amouroud, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
49,ARABIAN OUD,KASHMIRI MUSK,"Bergamot, Aldehydes","White Floral, Powdery Notes","Musk, Sandalwood, Amber","Discover Kashmiri Musk by Arabian Oud, a refined fragrance crafted to make a lasting impression. It opens with bergamot and fresh accords, develops into a smooth heart of white floral and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
50,ARD AL ZAAFARAN,MOUSOUF BROWN,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Mousouf Brown by Ard Al Zaafaran, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
51,ARD AL ZAAFARAN,DIRHAM,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Dirham by Ard Al Zaafaran, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
52,ARMAF,HIGH STREET,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover High Street by Armaf, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
53,ARMANI,AQUA DI GIO PARFUM,"Marine Notes, Lemon","Lavender, Neroli","Musk, Cedarwood, Amber","Discover Aqua Di Gio Parfum by Armani, a refined fragrance crafted to make a lasting impression. It opens with marine notes and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
54,ARMANI,CODE PURFUMO,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Code Purfumo by Armani, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
55,ARMANI,CODE WOMEN,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Code Women by Armani, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
56,ARMANI,CODE MEN,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Code Men by Armani, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
57,ARMANI,AQUA DI GIO POUR HOMME,"Marine Notes, Lemon","Lavender, Neroli","Musk, Cedarwood, Amber","Discover Aqua Di Gio Pour Homme by Armani, a refined fragrance crafted to make a lasting impression. It opens with marine notes and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
58,ARMANI,AQUA DI GIO PROFUMO,"Marine Notes, Lemon","Lavender, Neroli","Musk, Cedarwood, Amber","Discover Aqua Di Gio Profumo by Armani, a refined fragrance crafted to make a lasting impression. It opens with marine notes and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
59,ARMANI,AQUA DI GIO PROFONDO,"Marine Notes, Lemon","Lavender, Neroli","Musk, Cedarwood, Amber","Discover Aqua Di Gio Profondo by Armani, a refined fragrance crafted to make a lasting impression. It opens with marine notes and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
60,ARMANI,AQUA DI GIO ABSOLU,"Marine Notes, Lemon","Lavender, Neroli","Musk, Cedarwood, Amber","Discover Aqua Di Gio Absolu by Armani, a refined fragrance crafted to make a lasting impression. It opens with marine notes and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
61,ARMANI,IKAT ROUGE,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Ikat Rouge by Armani, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
62,ARMANI,STRONGER WITH YOU,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Stronger With You by Armani, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
63,ARMANI,STRONGER WITH YOU FREEZE,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Stronger With You Freeze by Armani, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
64,ARMANI,ROSE MILANO,"Lychee, Bergamot","Rose, Peony","Musk, Patchouli, Vanilla","Discover Rose Milano by Armani, a refined fragrance crafted to make a lasting impression. It opens with lychee and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
65,ARMANI,CODE SPORT,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Code Sport by Armani, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
66,ARMANI,SI PASSIONE,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Si Passione by Armani, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
67,ARMANI,ARMANI SI,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Armani Si by Armani, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
68,ARMANI,MY WAY,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover My Way by Armani, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
69,ARMANI,AQUA INSTINCT,"Marine Notes, Lemon","Lavender, Neroli","Musk, Cedarwood, Amber","Discover Aqua Instinct by Armani, a refined fragrance crafted to make a lasting impression. It opens with marine notes and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
70,ARMANI,CODE COLONIA,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Code Colonia by Armani, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
71,ARMANI,MANIA ARMANI,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Mania Armani by Armani, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
72,ARMANI,PRIVE OUDH,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Prive Oudh by Armani, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
73,ARMANI,STRONGER WITH YOU OUD -,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Stronger With You Oud - by Armani, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
74,ARMANI,STRONGER WITH YOU LEATHER,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Stronger With You Leather by Armani, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
75,ARMANI,OUD PRIVE,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Oud Prive by Armani, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
76,ARMANI,MUSC SHAMAL,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Musc Shamal by Armani, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
77,ARMANI,PRIVE ROSE D'ARABIA,"Lychee, Bergamot","Rose, Peony","Musk, Patchouli, Vanilla","Discover Prive Rose D'Arabia by Armani, a refined fragrance crafted to make a lasting impression. It opens with lychee and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
78,ARMANI,STRONGER WITH SANDALWOOD,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Stronger With Sandalwood by Armani, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
79,ARMANI,STRONGER WITH YOU PARFUM,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Stronger With You Parfum by Armani, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
80,ATKINSONS,OUD SAVE THE QUEEN -,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Oud Save The Queen - by Atkinsons, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
